0	一切正常	请求符合所有要求，服务器正常返回。
1	参数不存在	需要某个请求参数，但在请求体中没有找到。例如获得access_token需要传入请求的作用域scope，而在请求参数没有，将会发生 scope参数不存在 这个错误。
2	参数类型错误	需要一定类型的参数，但在请求体对应的参数和预期的类型不一致。例如需要整形的样本号，而在请求参数中传入一个字符串类型的样本号，将会发生 样本号类型错误 这个错误。
3	参数内容不合法	需要符合一定要求的参数，但在请求体对应的参数不符合预期的要求。例如需要一个大于0的项目号，而在请求参数中传入一个负数的项目号， 将会发生 项目号不合法 这个错误。再例如需要一个只能由汉字组成的姓名，而在请求参数中传入一个带有字母的姓名， 将会发生 姓名不合法 这个错误。再例如需要一个字典而且字典中需要包含name属性的info，而在请求参数中传入的info无name属性，将会发生 info不合法 这个错误。
4	参数无效	请求参数经服务器验证，无法达到访问效果。例如在用户获得access_token传入的密码和数据库中的不一致，将会发生 密码无效 这个错误。再例如用户想新建一个项目，但传入的项目名称已经存在，将会发生 项目名称无效 这个错误。
5	资源不存在	需要访问一个资源时，没有找到符合要求的资源。例如访问一个项目号为5的项目，但平台在并没有项目号为5的项目，将会发生 项目不存在 这个错误。
6	资源无权限访问	用户或系统设定一些资源仅允许特定用户群体访问，而访问者不在特定访问群体中。例如某用户试图修改一个公共样本的基本信息，将会发生 用户对样本无操作权限 这个错误。
7	请求过于频繁	对于某些特定的资源，服务器对访问间隔有限制。例如对于同一个号码发送验证码要求至少间隔60秒才能发送第二次，当仅隔30秒就再次请求发送验证码，将发生 发送验证码过于频繁 这个错误
8	调用超过限制	对于某些特定的资源，服务器对一定时间内调用次数有限制。例如对于同一个号码发送验证码要求每天最多发送10次，当请求发送第11次时，将发生 发送验证码超过限制 这个错误
97	数据库存在脏数据	数据库中出现了明确不合理的数据
98	依赖服务错误	调用依赖服务时，无法连接或者返回状态码不是200。
99	内部错误	服务器处理请求时发生未预料到的错误。
